racedate,venue,race_no,url,anchor,p2,p3,pair12,q_div_12,pair13,q_div_13,stake_total,return_total,profit_total,is_hit_any
2025/10/15,HV,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/15&Racecourse=HV&RaceNo=9,8,6,2,6-8,139.0,2-8,,20.0,139.0,119.0,True
2025/10/30,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/30&Racecourse=ST&RaceNo=2,6,12,3,6-12,,3-6,,20.0,0.0,-20.0,False
2025/11/15,ST,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/15&Racecourse=ST&RaceNo=4,4,2,3,2-4,,3-4,,20.0,0.0,-20.0,False
2025/11/23,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/23&Racecourse=ST&RaceNo=10,3,14,1,3-14,,1-3,,20.0,0.0,-20.0,False
2025/11/26,HV,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/26&Racecourse=HV&RaceNo=8,7,12,1,7-12,,1-7,,20.0,0.0,-20.0,False
2025/12/07,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/07&Racecourse=ST&RaceNo=1,1,14,7,1-14,,1-7,,20.0,0.0,-20.0,False
2025/12/14,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/14&Racecourse=ST&RaceNo=8,1,2,5,1-2,23.5,1-5,,20.0,23.5,3.5,True
2025/12/17,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/17&Racecourse=HV&RaceNo=6,8,10,12,8-10,,8-12,,20.0,0.0,-20.0,False
2025/12/20,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/20&Racecourse=ST&RaceNo=7,2,7,12,2-7,,2-12,214.0,20.0,214.0,194.0,True
2025/12/27,ST,5,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/27&Racecourse=ST&RaceNo=5,1,2,6,1-2,,1-6,,20.0,0.0,-20.0,False
2026/01/04,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/04&Racecourse=ST&RaceNo=10,3,12,1,3-12,,1-3,,20.0,0.0,-20.0,False
2026/01/07,HV,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/07&Racecourse=HV&RaceNo=7,9,7,6,7-9,97.0,6-9,,20.0,97.0,77.0,True
2026/01/11,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/11&Racecourse=ST&RaceNo=10,1,10,11,1-10,,1-11,,20.0,0.0,-20.0,False
2026/01/18,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/18&Racecourse=ST&RaceNo=7,2,5,8,2-5,149.5,2-8,,20.0,149.5,129.5,True
2026/01/18,ST,11,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/18&Racecourse=ST&RaceNo=11,9,11,1,9-11,,1-9,,20.0,0.0,-20.0,False
2026/01/21,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/21&Racecourse=ST&RaceNo=2,6,11,4,6-11,,4-6,,20.0,0.0,-20.0,False
2026/01/25,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/25&Racecourse=ST&RaceNo=2,1,12,4,1-12,,1-4,154.5,20.0,154.5,134.5,True
2026/01/28,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/28&Racecourse=HV&RaceNo=6,5,6,1,5-6,,1-5,151.0,20.0,151.0,131.0,True
2026/02/01,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/01&Racecourse=ST&RaceNo=6,7,5,10,5-7,,7-10,,20.0,0.0,-20.0,False
2026/02/01,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/01&Racecourse=ST&RaceNo=10,8,9,10,8-9,,8-10,,20.0,0.0,-20.0,False
2026/02/04,HV,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/04&Racecourse=HV&RaceNo=3,8,3,6,3-8,,6-8,,20.0,0.0,-20.0,False
2026/02/14,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/14&Racecourse=ST&RaceNo=3,6,2,8,2-6,,6-8,,20.0,0.0,-20.0,False
